Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Cluster,Cluster_Label
MotoGP 14 ,PS4,2014,Racing,Milestone S.r.l.,0.04,0.11,0.0,0.03,0.18,73.0,6.4,1,Low Sales / Niche
Valhalla Knights 3,PSV,2013,Role-Playing,Xseed Games,0.04,0.01,0.12,0.01,0.18,48.0,6.8,1,Low Sales / Niche
Senran Kagura: Estival Versus,PSV,2015,Action,Marvelous Interactive,0.04,0.02,0.09,0.02,0.18,71.0,7.4,1,Low Sales / Niche
GRID Autosport,PS3,2014,Racing,Codemasters,0.05,0.09,0.01,0.03,0.18,75.0,6.8,1,Low Sales / Niche
Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0.0,0.02,0.18,45.0,3.5,1,Low Sales / Niche
Remember Me,X360,2013,Action,Capcom,0.1,0.06,0.0,0.02,0.18,70.0,7.5,1,Low Sales / Niche
Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.08,0.0,0.08,0.02,0.18,67.0,8.0,1,Low Sales / Niche
NBA Live 16,PS4,2015,Sports,Electronic Arts,0.1,0.04,0.0,0.03,0.18,59.0,6.1,1,Low Sales / Niche
Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,0.01,0.17,91.0,7.1,1,Low Sales / Niche
Project Spark,XOne,2014,Misc,Microsoft Game Studios,0.11,0.05,0.0,0.02,0.17,73.0,7.0,1,Low Sales / Niche
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17,74.0,7.6,1,Low Sales / Niche
Hitman: HD Trilogy,X360,2013,Action,Square Enix,0.07,0.08,0.0,0.02,0.17,69.0,7.2,1,Low Sales / Niche
Danganronpa 2: Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,0.08,0.05,0.0,0.04,0.17,81.0,8.7,1,Low Sales / Niche
Conception II: Children of the Seven Stars,PSV,2013,Role-Playing,Screenlife,0.1,0.0,0.04,0.03,0.17,62.0,7.6,1,Low Sales / Niche
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.09,0.06,0.0,0.01,0.17,83.0,7.2,1,Low Sales / Niche
Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,0.08,0.04,0.03,0.02,0.17,58.0,6.5,1,Low Sales / Niche
LEGO Marvel Super Heroes,PC,2013,Action,Warner Bros. Interactive Entertainment,0.04,0.12,0.0,0.01,0.17,78.0,8.1,1,Low Sales / Niche
Demon Gaze,PSV,2013,Role-Playing,Nippon Ichi Software,0.04,0.02,0.08,0.02,0.17,70.0,7.4,1,Low Sales / Niche
Mobile Suit Gundam: Extreme VS Force,PSV,2015,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,57.0,7.3,1,Low Sales / Niche
NASCAR '14,X360,2014,Racing,Deep Silver,0.15,0.0,0.0,0.02,0.17,65.0,5.1,1,Low Sales / Niche
One Piece: Pirate Warriors 3,PSV,2015,Action,Namco Bandai Games,0.0,0.03,0.13,0.01,0.17,76.0,6.3,1,Low Sales / Niche
7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17,77.0,8.2,1,Low Sales / Niche
Far Cry: Primal,PC,2016,Action,Ubisoft,0.04,0.11,0.0,0.01,0.16,74.0,4.8,1,Low Sales / Niche
Dengeki Bunko Fighting Climax,PS3,2014,Fighting,Sega,0.05,0.0,0.09,0.01,0.16,66.0,8.2,1,Low Sales / Niche
Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,0.09,0.06,0.0,0.01,0.16,72.0,4.4,1,Low Sales / Niche
Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015,Simulation,Marvelous Entertainment,0.05,0.0,0.1,0.01,0.16,72.0,6.8,1,Low Sales / Niche
Murdered: Soul Suspect,XOne,2014,Action,Square Enix,0.08,0.07,0.0,0.01,0.16,51.0,7.0,1,Low Sales / Niche
The Crew,PC,2014,Racing,Ubisoft,0.0,0.15,0.0,0.01,0.16,71.0,6.4,1,Low Sales / Niche
Angry Birds Star Wars,XOne,2013,Strategy,Activision,0.11,0.04,0.0,0.02,0.16,53.0,6.9,1,Low Sales / Niche
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,0.08,0.06,0.0,0.01,0.16,84.0,8.3,1,Low Sales / Niche
Putty Squad,PS4,2013,Platform,System 3,0.06,0.07,0.0,0.03,0.16,38.0,2.9,1,Low Sales / Niche
Ar Nosurge: Ode to an Unborn Star,PS3,2014,Role-Playing,Tecmo Koei,0.05,0.03,0.06,0.02,0.16,67.0,7.8,1,Low Sales / Niche
Wildstar,PC,2014,Role-Playing,NCSoft,0.08,0.07,0.0,0.01,0.16,82.0,7.4,1,Low Sales / Niche
Dynasty Warriors 8: Xtreme Legends,PS3,2013,Action,Tecmo Koei,0.02,0.02,0.11,0.01,0.16,68.0,6.8,1,Low Sales / Niche
Fantasia: Music Evolved,XOne,2014,Misc,Disney Interactive Studios,0.11,0.03,0.0,0.01,0.15,77.0,7.5,1,Low Sales / Niche
Wolfenstein: The Old Blood,XOne,2015,Action,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15,75.0,8.0,1,Low Sales / Niche
Dynasty Warriors 8,X360,2013,Action,Tecmo Koei,0.09,0.05,0.0,0.01,0.15,65.0,7.5,1,Low Sales / Niche
Tears to Tiara II: Heir of the Overlord,PS3,2013,Role-Playing,Nippon Ichi Software,0.07,0.01,0.06,0.02,0.15,65.0,8.7,1,Low Sales / Niche
Oreshika: Tainted Bloodlines,PSV,2014,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.15,0.0,0.15,78.0,8.0,1,Low Sales / Niche
Battleborn,XOne,2016,Shooter,Take-Two Interactive,0.1,0.04,0.0,0.01,0.15,71.0,7.2,1,Low Sales / Niche
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.07,0.02,0.04,0.02,0.15,79.0,8.7,1,Low Sales / Niche
Sword Art Online: Hollow Realization,PSV,2016,Role-Playing,Namco Bandai Games,0.0,0.04,0.1,0.01,0.15,60.0,7.0,1,Low Sales / Niche
LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.01,0.11,0.0,0.02,0.15,73.0,8.1,1,Low Sales / Niche
The Legend of Heroes: Trails of Cold Steel II,PS3,2014,Role-Playing,Nippon Ichi Software,0.02,0.02,0.11,0.01,0.15,90.0,7.8,1,Low Sales / Niche
Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.06,0.07,0.01,0.01,0.15,74.0,8.0,1,Low Sales / Niche
Earth Defense Force 2025,X360,2013,Shooter,D3Publisher,0.06,0.03,0.05,0.01,0.15,68.0,8.1,1,Low Sales / Niche
ReCore,XOne,2016,Action,Microsoft Game Studios,0.08,0.05,0.0,0.01,0.15,63.0,6.6,1,Low Sales / Niche
BlazBlue: Chrono Phantasma Extend,PS4,2015,Action,PQube,0.07,0.03,0.02,0.02,0.14,80.0,7.7,1,Low Sales / Niche
Alien: Isolation,PC,2014,Shooter,Sega,0.0,0.14,0.0,0.01,0.14,81.0,8.4,1,Low Sales / Niche
Just Cause 3,PC,2015,Action,Square Enix,0.03,0.11,0.0,0.01,0.14,74.0,5.3,1,Low Sales / Niche
Farming Simulator 2013,PS3,2013,Simulation,Focus Home Interactive,0.0,0.09,0.02,0.02,0.14,40.0,2.9,1,Low Sales / Niche
Skylanders Imaginators,PS4,2016,Platform,Activision,0.04,0.08,0.0,0.02,0.14,80.0,5.5,1,Low Sales / Niche
XCOM 2,PS4,2016,Strategy,Take-Two Interactive,0.04,0.08,0.0,0.02,0.14,88.0,8.0,1,Low Sales / Niche
Pro Evolution Soccer 2015,XOne,2014,Sports,Konami Digital Entertainment,0.03,0.1,0.0,0.01,0.14,79.0,7.3,1,Low Sales / Niche
Cities: Skylines,PC,2015,Simulation,Paradox Interactive,0.0,0.13,0.0,0.01,0.14,85.0,8.9,1,Low Sales / Niche
Shovel Knight,3DS,2015,Platform,Yacht Club Games,0.08,0.04,0.02,0.01,0.14,90.0,8.2,1,Low Sales / Niche
Odin Sphere: Leifthrasir,PSV,2016,Role-Playing,Nippon Ichi Software,0.02,0.02,0.09,0.01,0.14,93.0,7.9,1,Low Sales / Niche
Homefront: The Revolution,XOne,2016,Shooter,Deep Silver,0.06,0.07,0.0,0.01,0.14,49.0,4.1,1,Low Sales / Niche
7 Days to Die,PS4,2016,Action,Telltale Games,0.04,0.08,0.0,0.02,0.14,45.0,5.9,1,Low Sales / Niche
Rayman Legends,PSV,2014,Platform,Ubisoft,0.01,0.1,0.0,0.03,0.14,87.0,8.4,1,Low Sales / Niche
Transformers: Devastation,XOne,2015,Action,Activision,0.09,0.04,0.0,0.01,0.14,75.0,7.9,1,Low Sales / Niche
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.03,0.07,0.01,0.02,0.14,63.0,6.4,1,Low Sales / Niche
Battlefield: Hardline,PC,2015,Shooter,Electronic Arts,0.0,0.13,0.0,0.01,0.14,71.0,3.8,1,Low Sales / Niche
Brothers: A Tale of Two Sons,PS4,2015,Adventure,505 Games,0.03,0.08,0.0,0.02,0.14,81.0,8.6,1,Low Sales / Niche
Persona 4: Arena Ultimax,PS3,2014,Fighting,Atlus,0.0,0.0,0.13,0.0,0.14,84.0,8.1,1,Low Sales / Niche
Call of Duty: Infinite Warfare,PC,2016,Shooter,Activision,0.04,0.08,0.0,0.01,0.14,73.0,3.0,1,Low Sales / Niche
Life is Strange,XOne,2016,Adventure,Square Enix,0.09,0.03,0.0,0.01,0.13,85.0,8.7,1,Low Sales / Niche
Gravity Rush Remastered,PS4,2015,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13,80.0,8.2,1,Low Sales / Niche
Dengeki Bunko Fighting Climax,PSV,2014,Fighting,Sega,0.04,0.0,0.08,0.01,0.13,75.0,8.5,1,Low Sales / Niche
Total War: WARHAMMER,PC,2016,Strategy,Sega,0.0,0.12,0.0,0.01,0.13,86.0,7.3,1,Low Sales / Niche
LEGO Legends of Chima: Laval's Journey,PSV,2013,Adventure,Warner Bros. Interactive Entertainment,0.01,0.09,0.0,0.03,0.13,64.0,6.6,1,Low Sales / Niche
Batman: Arkham Knight,PC,2015,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13,70.0,2.5,1,Low Sales / Niche
Final Fantasy XIV: Heavensward,PS4,2015,Action,Square Enix,0.0,0.06,0.06,0.01,0.13,86.0,7.6,1,Low Sales / Niche
Watch Dogs,WiiU,2014,Action,Ubisoft,0.07,0.05,0.0,0.01,0.13,62.0,6.4,1,Low Sales / Niche
Deception IV: Blood Ties,PSV,2014,Action,Tecmo Koei,0.02,0.02,0.07,0.01,0.13,67.0,7.5,1,Low Sales / Niche
One Piece: Unlimited World Red,PSV,2014,Action,Namco Bandai Games,0.03,0.04,0.04,0.02,0.13,67.0,7.8,1,Low Sales / Niche
Hyperdevotion Noire: Goddess Black Heart,PSV,2014,Role-Playing,Idea Factory,0.04,0.01,0.06,0.02,0.13,68.0,7.1,1,Low Sales / Niche
Project CARS,PC,2015,Racing,Slightly Mad Studios,0.0,0.12,0.0,0.01,0.13,83.0,7.1,1,Low Sales / Niche
DiRT Rally,XOne,2016,Racing,Codemasters,0.04,0.08,0.0,0.01,0.12,86.0,8.0,1,Low Sales / Niche
Conception II: Children of the Seven Stars,3DS,2013,Role-Playing,Screenlife,0.09,0.0,0.03,0.01,0.12,62.0,7.7,1,Low Sales / Niche
Killer is Dead,X360,2013,Action,Deep Silver,0.08,0.02,0.01,0.01,0.12,64.0,7.2,1,Low Sales / Niche
Don Bradman Cricket 14,PS4,2015,Sports,Tru Blu Entertainment,0.01,0.09,0.0,0.02,0.12,76.0,7.4,1,Low Sales / Niche
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,Role-Playing,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,75.0,8.1,1,Low Sales / Niche
Robinson: The Journey,PS4,2016,Action,Crytek,0.06,0.03,0.0,0.02,0.12,65.0,6.9,1,Low Sales / Niche
Rise of the Tomb Raider,PC,2016,Adventure,Square Enix,0.0,0.11,0.0,0.01,0.12,86.0,7.9,1,Low Sales / Niche
Hatsune Miku: Project Diva X,PSV,2016,Misc,Sega,0.01,0.0,0.1,0.0,0.12,83.0,8.0,1,Low Sales / Niche
Dishonored 2,PC,2016,Action,Bethesda Softworks,0.04,0.07,0.0,0.01,0.12,86.0,6.0,1,Low Sales / Niche
Tony Hawk's Pro Skater 5,XOne,2015,Sports,Activision,0.09,0.02,0.0,0.01,0.12,39.0,2.1,1,Low Sales / Niche
Rodea the Sky Soldier,WiiU,2015,Action,Nippon Ichi Software,0.08,0.02,0.01,0.01,0.12,45.0,6.5,1,Low Sales / Niche
Tom Clancy's Splinter Cell: Blacklist,WiiU,2013,Action,Ubisoft,0.04,0.07,0.0,0.01,0.12,75.0,7.8,1,Low Sales / Niche
Samurai Warriors 4-II,PS4,2015,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,73.0,7.3,1,Low Sales / Niche
Lost Planet 3,X360,2013,Shooter,Capcom,0.07,0.03,0.01,0.01,0.12,58.0,5.8,1,Low Sales / Niche
LEGO Batman 2: DC Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0.0,0.01,0.12,77.0,7.3,1,Low Sales / Niche
Tropico 5,PC,2014,Simulation,Kalypso Media,0.02,0.09,0.0,0.01,0.12,75.0,7.0,1,Low Sales / Niche
FIFA 17,PC,2016,Sports,Electronic Arts,0.0,0.11,0.0,0.01,0.12,84.0,4.2,1,Low Sales / Niche
Armored Core: Verdict Day,PS3,2013,Simulation,From Software,0.0,0.0,0.12,0.0,0.12,66.0,7.4,1,Low Sales / Niche
Deception IV: Blood Ties,PS3,2014,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.11,70.0,8.2,1,Low Sales / Niche
Rugby 15,PS4,2015,Sports,Bigben Interactive,0.04,0.06,0.0,0.02,0.11,19.0,3.4,1,Low Sales / Niche
Disney Art Academy,3DS,2016,Action,Nintendo,0.02,0.01,0.08,0.0,0.11,72.0,6.8,1,Low Sales / Niche
Hyperdimension Neptunia U: Action Unleashed,PSV,2014,Action,Idea Factory International,0.03,0.01,0.06,0.01,0.11,71.0,6.8,1,Low Sales / Niche
Fatal Frame: Maiden of Black Water,WiiU,2014,Action,Nintendo,0.0,0.03,0.08,0.0,0.11,67.0,7.6,1,Low Sales / Niche
MLB 13: The Show,PSV,2013,Sports,Sony Computer Entertainment,0.1,0.0,0.0,0.02,0.11,75.0,7.5,1,Low Sales / Niche
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0.0,0.1,0.0,0.02,0.11,75.0,8.5,1,Low Sales / Niche
Valkyrie Drive: Bhikkhuni,PSV,2015,Action,PQube,0.0,0.03,0.07,0.01,0.11,72.0,8.5,1,Low Sales / Niche
Samurai Warriors 4,PSV,2014,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,76.0,8.6,1,Low Sales / Niche
Batman: Return to Arkham,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.05,0.0,0.01,0.11,77.0,8.2,1,Low Sales / Niche
RIGS: Mechanized Combat League,PS4,2016,Action,Sony Computer Entertainment,0.03,0.05,0.01,0.02,0.11,79.0,7.9,1,Low Sales / Niche
NBA Live 16,XOne,2015,Sports,Electronic Arts,0.09,0.01,0.0,0.01,0.11,60.0,5.6,1,Low Sales / Niche
Zombie Army Trilogy,XOne,2015,Shooter,Rebellion Developments,0.05,0.05,0.0,0.01,0.11,62.0,7.2,1,Low Sales / Niche
God Eater 2: Rage Burst,PS4,2015,Role-Playing,Namco Bandai Games,0.0,0.01,0.09,0.0,0.11,69.0,8.0,1,Low Sales / Niche
NASCAR '14,PS3,2014,Racing,Deep Silver,0.09,0.0,0.0,0.02,0.11,67.0,4.6,1,Low Sales / Niche
Pro Evolution Soccer 2016,XOne,2015,Sports,Konami Digital Entertainment,0.04,0.06,0.0,0.01,0.11,85.0,6.2,1,Low Sales / Niche
ArmA III,PC,2013,Shooter,Bohemia Interactive,0.0,0.1,0.0,0.01,0.11,74.0,7.4,1,Low Sales / Niche
MLB 14: The Show,PSV,2014,Sports,Sony Computer Entertainment America,0.08,0.0,0.0,0.03,0.11,68.0,7.0,1,Low Sales / Niche
Dragon Ball Z: Battle of Z,PSV,2014,Fighting,Namco Bandai Games,0.0,0.04,0.06,0.01,0.11,66.0,7.5,1,Low Sales / Niche
Pac-Man and the Ghostly Adventures 2,X360,2014,Adventure,Namco Bandai Games,0.05,0.04,0.0,0.01,0.11,60.0,6.5,1,Low Sales / Niche
Mind Zero,PSV,2013,Role-Playing,GungHo,0.05,0.0,0.04,0.02,0.1,59.0,6.0,1,Low Sales / Niche
Sacred 3,PS3,2014,Role-Playing,Deep Silver,0.03,0.04,0.03,0.01,0.1,56.0,3.4,1,Low Sales / Niche
Wasteland 2,PC,2015,Role-Playing,inXile Entertainment,0.03,0.06,0.0,0.01,0.1,81.0,7.3,1,Low Sales / Niche
Pro Evolution Soccer 2014,PC,2013,Action,Konami Digital Entertainment,0.0,0.1,0.0,0.01,0.1,74.0,4.4,1,Low Sales / Niche
Ride,XOne,2015,Racing,Milestone S.r.l.,0.04,0.05,0.0,0.01,0.1,54.0,5.3,1,Low Sales / Niche
The Sims 4: City Living,PC,2016,Simulation,Electronic Arts,0.02,0.08,0.0,0.01,0.1,77.0,5.7,1,Low Sales / Niche
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.1,71.0,6.3,1,Low Sales / Niche
Terraria,PSV,2013,Action,Screenlife,0.0,0.01,0.09,0.0,0.1,85.0,7.8,1,Low Sales / Niche
Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.1,68.0,6.2,1,Low Sales / Niche
Resident Evil: Revelations 2,PSV,2015,Action,Capcom,0.0,0.03,0.07,0.01,0.1,65.0,7.8,1,Low Sales / Niche
Resident Evil: Revelations 2,XOne,2015,Action,Capcom,0.07,0.02,0.0,0.01,0.1,75.0,7.5,1,Low Sales / Niche
Steins;Gate,PSV,2013,Adventure,PQube,0.04,0.04,0.0,0.02,0.1,83.0,9.2,1,Low Sales / Niche
Ultra Street Fighter IV,PS4,2015,Fighting,Capcom,0.0,0.08,0.0,0.01,0.1,71.0,5.9,1,Low Sales / Niche
EVE: Valkyrie,PS4,2016,Shooter,CCP,0.03,0.05,0.0,0.02,0.1,73.0,6.3,1,Low Sales / Niche
The Crew: Wild Run,PS4,2015,Action,Ubisoft,0.0,0.08,0.0,0.01,0.1,73.0,6.8,1,Low Sales / Niche
Natural Doctrine,PS4,2014,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1,53.0,6.0,1,Low Sales / Niche
F1 2014,PC,2014,Racing,Codemasters,0.0,0.09,0.0,0.01,0.1,61.0,4.8,1,Low Sales / Niche
Shovel Knight,WiiU,2015,Platform,Yacht Club Games,0.05,0.04,0.0,0.01,0.1,88.0,8.3,1,Low Sales / Niche
Operation Abyss: New Tokyo Legacy,PSV,2014,Role-Playing,Nippon Ichi Software,0.02,0.0,0.06,0.01,0.1,66.0,7.3,1,Low Sales / Niche
Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.06,0.01,0.1,71.0,6.5,1,Low Sales / Niche
Skylanders Imaginators,XOne,2016,Platform,Activision,0.05,0.04,0.0,0.01,0.1,78.0,6.0,1,Low Sales / Niche
One Piece: Burning Blood,PSV,2016,Fighting,Namco Bandai Games,0.0,0.02,0.07,0.0,0.1,62.0,7.8,1,Low Sales / Niche
Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,Namco Bandai Games,0.05,0.03,0.0,0.02,0.09,59.0,6.3,1,Low Sales / Niche
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,Activision,0.05,0.02,0.0,0.02,0.09,44.0,5.5,1,Low Sales / Niche
Steins;Gate 0,PSV,2015,Adventure,PQube,0.0,0.03,0.05,0.01,0.09,86.0,9.3,1,Low Sales / Niche
Football Manager 2017,PC,2016,Simulation,Sega,0.0,0.09,0.0,0.01,0.09,81.0,4.3,1,Low Sales / Niche
Digimon All-Star Rumble,PS3,2014,Fighting,Namco Bandai Games,0.06,0.02,0.0,0.02,0.09,49.0,5.8,1,Low Sales / Niche
Yaiba: Ninja Gaiden Z,PS3,2014,Action,Tecmo Koei,0.05,0.03,0.0,0.02,0.09,43.0,4.5,1,Low Sales / Niche
Castlevania: Lords of Shadow 2,X360,2014,Action,Konami Digital Entertainment,0.02,0.06,0.0,0.01,0.09,70.0,7.8,1,Low Sales / Niche
Pokemon Rumble World,3DS,2015,Action,Nintendo,0.0,0.01,0.08,0.0,0.09,58.0,6.4,1,Low Sales / Niche
DriveClub VR,PS4,2016,Racing,Sony Computer Entertainment,0.03,0.05,0.0,0.01,0.09,67.0,7.4,1,Low Sales / Niche
Arslan: The Warriors of Legend,PS4,2015,Action,Tecmo Koei,0.03,0.01,0.04,0.01,0.09,69.0,6.6,1,Low Sales / Niche
Wolfenstein: The Old Blood,PC,2015,Action,Bethesda Softworks,0.0,0.08,0.0,0.0,0.09,76.0,7.6,1,Low Sales / Niche
GRID Autosport,X360,2014,Racing,Codemasters,0.03,0.05,0.0,0.01,0.09,75.0,6.0,1,Low Sales / Niche
Terraria,3DS,2016,Action,505 Games,0.0,0.04,0.05,0.0,0.09,71.0,7.1,1,Low Sales / Niche
Risen 3: Titan Lords,PC,2014,Role-Playing,Deep Silver,0.0,0.08,0.0,0.0,0.09,65.0,5.7,1,Low Sales / Niche
Rugby 15,XOne,2015,Sports,Bigben Interactive,0.03,0.05,0.0,0.01,0.09,20.0,3.1,1,Low Sales / Niche
The Smurfs 2,WiiU,2013,Platform,Ubisoft,0.04,0.03,0.0,0.01,0.09,42.0,5.6,1,Low Sales / Niche
Lara Croft and the Temple of Osiris,PS4,2014,Action,Square Enix,0.0,0.07,0.0,0.01,0.09,74.0,6.7,1,Low Sales / Niche
BlazBlue Central Fiction,PS4,2016,Fighting,PQube,0.04,0.0,0.03,0.01,0.08,85.0,7.6,1,Low Sales / Niche
How to Train Your Dragon 2,WiiU,2014,Adventure,Little Orbit,0.03,0.05,0.0,0.01,0.08,47.0,4.9,1,Low Sales / Niche
The Golf Club,PS4,2014,Sports,Unknown,0.05,0.02,0.0,0.01,0.08,66.0,6.3,1,Low Sales / Niche
God Eater Resurrection,PS4,2015,Action,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,70.0,7.8,1,Low Sales / Niche
Shovel Knight,PS4,2015,Platform,Yacht Club Games,0.03,0.03,0.0,0.01,0.08,90.0,7.6,1,Low Sales / Niche
Invizimals: The Alliance,PSV,2013,Action,Sony Computer Entertainment,0.0,0.06,0.0,0.02,0.08,69.0,6.8,1,Low Sales / Niche
Battleborn,PC,2016,Shooter,Take-Two Interactive,0.04,0.04,0.0,0.01,0.08,69.0,6.9,1,Low Sales / Niche
Mega Man Legacy Collection,PS4,2016,Platform,Capcom,0.07,0.0,0.0,0.02,0.08,77.0,6.1,1,Low Sales / Niche
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,0.0,0.07,0.0,0.0,0.08,65.0,5.6,1,Low Sales / Niche
Risen 3: Titan Lords,PS3,2014,Role-Playing,Deep Silver,0.02,0.05,0.0,0.01,0.08,36.0,3.7,1,Low Sales / Niche
Titanfall 2,PC,2016,Shooter,Electronic Arts,0.03,0.04,0.0,0.01,0.08,85.0,8.0,1,Low Sales / Niche
Persona 4: Arena Ultimax,X360,2014,Fighting,Atlus,0.06,0.01,0.0,0.01,0.08,85.0,7.4,1,Low Sales / Niche
PAC-MAN and the Ghostly Adventures,PS3,2013,Platform,Namco Bandai Games,0.03,0.03,0.0,0.01,0.08,51.0,3.1,1,Low Sales / Niche
Sniper: Ghost Warrior 2,PC,2013,Shooter,City Interactive,0.02,0.05,0.0,0.01,0.08,52.0,5.8,1,Low Sales / Niche
PAC-MAN and the Ghostly Adventures,X360,2013,Platform,Namco Bandai Games,0.04,0.03,0.0,0.01,0.08,49.0,5.1,1,Low Sales / Niche
Lost Dimension,PSV,2014,Role-Playing,Nippon Ichi Software,0.03,0.01,0.02,0.02,0.08,72.0,8.3,1,Low Sales / Niche
Resident Evil 6,PS4,2016,Shooter,Capcom,0.06,0.0,0.0,0.01,0.08,60.0,6.7,1,Low Sales / Niche
Assassin's Creed: Rogue,PC,2015,Action,Ubisoft,0.05,0.02,0.0,0.01,0.08,74.0,7.5,1,Low Sales / Niche
X Rebirth,PC,2013,Simulation,Koch Media,0.0,0.08,0.0,0.0,0.08,33.0,3.3,1,Low Sales / Niche
Song of the Deep,PS4,2016,Action,Insomniac Games,0.06,0.0,0.0,0.01,0.08,69.0,7.3,1,Low Sales / Niche
Assassin's Creed The Ezio Collection,XOne,2016,Action,Ubisoft,0.03,0.04,0.0,0.01,0.08,74.0,7.6,1,Low Sales / Niche
Metal Gear Solid V: The Phantom Pain,PC,2015,Action,Konami Digital Entertainment,0.0,0.07,0.0,0.0,0.08,91.0,7.7,1,Low Sales / Niche
Valentino Rossi: The Game,PS4,2016,Racing,Namco Bandai Games,0.01,0.05,0.0,0.01,0.08,75.0,8.0,1,Low Sales / Niche
Samurai Warriors Chronicles 3,3DS,2014,Action,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,63.0,6.1,1,Low Sales / Niche
Zero Escape: Zero Time Dilemma,3DS,2016,Adventure,Aksys Games,0.05,0.0,0.02,0.01,0.08,81.0,8.5,1,Low Sales / Niche
Grand Ages: Medieval,PS4,2015,Strategy,Kalypso Media,0.0,0.05,0.02,0.01,0.07,64.0,7.1,1,Low Sales / Niche
Lost Dimension,PS3,2014,Role-Playing,Nippon Ichi Software,0.05,0.01,0.0,0.01,0.07,71.0,7.3,1,Low Sales / Niche
Escape Dead Island,PS3,2014,Action,Deep Silver,0.04,0.03,0.0,0.01,0.07,40.0,3.5,1,Low Sales / Niche
Toy Soldiers: War Chest,PS4,2015,Action,Ubisoft,0.06,0.0,0.0,0.01,0.07,62.0,7.7,1,Low Sales / Niche
Fairy Fencer F: Advent Dark Force,PS4,2015,Role-Playing,Idea Factory International,0.02,0.0,0.05,0.0,0.07,71.0,6.2,1,Low Sales / Niche
Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games,0.0,0.07,0.0,0.0,0.07,89.0,8.6,1,Low Sales / Niche
Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,0.03,0.0,0.03,0.01,0.07,78.0,8.1,1,Low Sales / Niche
Escape Dead Island,X360,2014,Action,Deep Silver,0.03,0.04,0.0,0.01,0.07,32.0,3.8,1,Low Sales / Niche
Child of Light,PSV,2014,Role-Playing,Ubisoft,0.0,0.04,0.02,0.01,0.07,83.0,7.8,1,Low Sales / Niche
Tokyo Twilight Ghost Hunters,PSV,2014,Role-Playing,Aksys Games,0.03,0.01,0.02,0.01,0.07,63.0,7.0,1,Low Sales / Niche
Saint Seiya: Brave Soldiers,PS3,2013,Fighting,Namco Bandai Games,0.0,0.01,0.06,0.0,0.07,55.0,7.4,1,Low Sales / Niche
Earth Defense Force 2: Invaders from Planet Space,PSV,2014,Action,Xseed Games,0.02,0.0,0.04,0.01,0.07,72.0,8.5,1,Low Sales / Niche
